,City,Month,Average Temperature (C),Average Temperature (F),Raindays,Precipitation (mm)
0,Charlotte,2019-01,6.6,43.879999999999995,10,119
1,Charlotte,2019-02,10.1,50.18,12,149
2,Charlotte,2019-03,10.4,50.72,9,80
3,Charlotte,2019-04,17.3,63.14,8,136
4,Charlotte,2019-05,23.5,74.30000000000001,4,63
5,Charlotte,2019-06,24.8,76.64,10,151
6,Charlotte,2019-07,27.5,81.5,5,90
7,Charlotte,2019-08,26.3,79.34,10,208
8,Charlotte,2019-09,25.9,78.62,1,5
9,Charlotte,2019-10,19.5,67.1,9,153
10,Charlotte,2019-11,9.2,48.56,8,86
11,Charlotte,2019-12,8.6,47.480000000000004,9,135
