,City,Month,Average Temperature (C),Average Temperature (F),Raindays,Precipitation (mm)
0,Las Vegas,2019-01,10.2,50.36,4,26
1,Las Vegas,2019-02,8.7,47.66,6,52
2,Las Vegas,2019-03,15.6,60.08,2,9
3,Las Vegas,2019-04,21.7,71.06,2,9
4,Las Vegas,2019-05,21.8,71.24000000000001,3,20
5,Las Vegas,2019-06,31.0,87.80000000000001,0,0
6,Las Vegas,2019-07,34.5,94.1,0,1
7,Las Vegas,2019-08,34.6,94.28,0,0
8,Las Vegas,2019-09,28.7,83.66,1,6
9,Las Vegas,2019-10,19.2,66.56,0,0
10,Las Vegas,2019-11,14.7,58.46,2,27
11,Las Vegas,2019-12,9.3,48.74,4,24
