,City,Month,Average Temperature (C),Average Temperature (F),Raindays,Precipitation (mm)
0,New York,2019-01,0.0,32.0,8,96
1,New York,2019-02,2.3,36.14,10,99
2,New York,2019-03,5.0,41.0,8,107
3,New York,2019-04,13.0,55.400000000000006,9,96
4,New York,2019-05,17.5,63.5,14,186
5,New York,2019-06,22.6,72.68,11,152
6,New York,2019-07,27.0,80.6,5,173
7,New York,2019-08,24.5,76.1,7,151
8,New York,2019-09,21.5,70.7,4,41
9,New York,2019-10,15.4,59.72,9,184
10,New York,2019-11,5.9,42.620000000000005,4,38
11,New York,2019-12,3.1,37.58,11,165
