,City,Month,Average Temperature (C),Average Temperature (F),Raindays,Precipitation (mm)
0,Toronto,2019-01,-5.4,22.28,11,62
1,Toronto,2019-02,-3.0,26.6,11,68
2,Toronto,2019-03,0.2,32.36,5,67
3,Toronto,2019-04,7.2,44.96,8,82
4,Toronto,2019-05,12.4,54.32,13,100
5,Toronto,2019-06,18.7,65.66,7,106
6,Toronto,2019-07,23.4,74.12,7,74
7,Toronto,2019-08,21.5,70.7,7,54
8,Toronto,2019-09,18.1,64.58000000000001,6,36
9,Toronto,2019-10,11.8,53.24,11,141
10,Toronto,2019-11,2.1,35.78,6,38
11,Toronto,2019-12,0.5,32.9,9,80
