,City,Month,Average Temperature (C),Average Temperature (F),Raindays,Precipitation (mm)
0,Las Vegas,2019-01,10.2,50.36,4,26
1,Las Vegas,2019-02,8.7,47.66,6,52
2,Las Vegas,2019-03,15.6,60.08,2,9
3,Las Vegas,2019-04,21.7,71.06,2,9
4,Las Vegas,2019-05,21.8,71.24000000000001,3,20
5,Las Vegas,2019-06,31.0,87.80000000000001,0,0
6,Las Vegas,2019-07,34.5,94.1,0,1
7,Las Vegas,2019-08,34.6,94.28,0,0
8,Las Vegas,2019-09,28.7,83.66,1,6
9,Las Vegas,2019-10,19.2,66.56,0,0
10,Las Vegas,2019-11,14.7,58.46,2,27
11,Las Vegas,2019-12,9.3,48.74,4,24
0,Charlotte,2019-01,6.6,43.879999999999995,10,119
1,Charlotte,2019-02,10.1,50.18,12,149
2,Charlotte,2019-03,10.4,50.72,9,80
3,Charlotte,2019-04,17.3,63.14,8,136
4,Charlotte,2019-05,23.5,74.30000000000001,4,63
5,Charlotte,2019-06,24.8,76.64,10,151
6,Charlotte,2019-07,27.5,81.5,5,90
7,Charlotte,2019-08,26.3,79.34,10,208
8,Charlotte,2019-09,25.9,78.62,1,5
9,Charlotte,2019-10,19.5,67.1,9,153
10,Charlotte,2019-11,9.2,48.56,8,86
11,Charlotte,2019-12,8.6,47.480000000000004,9,135
0,Toronto,2019-01,-5.4,22.28,11,62
1,Toronto,2019-02,-3.0,26.6,11,68
2,Toronto,2019-03,0.2,32.36,5,67
3,Toronto,2019-04,7.2,44.96,8,82
4,Toronto,2019-05,12.4,54.32,13,100
5,Toronto,2019-06,18.7,65.66,7,106
6,Toronto,2019-07,23.4,74.12,7,74
7,Toronto,2019-08,21.5,70.7,7,54
8,Toronto,2019-09,18.1,64.58000000000001,6,36
9,Toronto,2019-10,11.8,53.24,11,141
10,Toronto,2019-11,2.1,35.78,6,38
11,Toronto,2019-12,0.5,32.9,9,80
