,Business ID,Total Check-Ins,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,Name,City,State,Category,Rating,Review Count
0,-1m9o3vGRA8IBPNvNqKLmA,218,19,20,13,17,20,14,18,29,19,24,19,6,Bavette's Steakhouse & Bar - Temporarily Closed,Las Vegas,NV, steak bars newamerican,4.5,542.0
2,-9dmhyBvepc08KPEHlEM0w,247,6,11,10,24,25,22,41,44,25,26,9,4,CN Tower,Toronto,ON, landmarks observatories,4.0,782.0
3,-ADtl9bLp8wNqYX1k3KuxA,225,25,27,22,22,21,7,18,19,18,15,24,7,Ichi Ramen House,Las Vegas,NV, ramen asianfusion sushi,4.0,685.0
6,-LzUYsR54hd8cCiYXTquRA,229,41,32,33,19,21,17,15,15,14,9,11,2,Medley Buffet,Las Vegas,NV, buffets,3.0,528.0
8,-Qkx7W0itbAApcG5lJuMFQ,1048,83,66,115,93,121,78,113,127,85,59,75,33,Jaburritos,Las Vegas,NV, japanese sushi seafood,4.5,634.0
11,-WLrZPzjKfrftLWaCi1QZQ,215,21,22,17,21,15,27,21,18,19,11,18,5,Blueberry Hill Family Restaurant,Las Vegas,NV, diners breakfast_brunch,4.0,1081.0
13,-_TSaVr53qiEGqMkwyEMaQ,424,43,24,39,38,49,38,43,36,36,25,33,20,Parsley Modern Mediterranean,Las Vegas,NV, mediterranean mideastern greek,4.0,631.0
14,-a857YYdjzgOdOjFFRsRXQ,265,24,12,27,37,26,13,28,21,19,26,23,9,Beer Park,Las Vegas,NV, beerbar cocktailbars tradamerican,4.0,811.0
16,-ed0Yc9on37RoIoG2ZgxBA,420,47,37,47,30,30,43,38,38,37,33,32,8,Le Thai,Las Vegas,NV, thai beergardens,4.0,2003.0
18,-io9loC11Z73p_QDAWytpA,356,0,0,38,47,43,47,42,41,36,23,28,11,Scenic Brewing Company,Las Vegas,NV, sportsbars breweries newamerican,4.5,250.0
21,-oUM2uISux96lMGeawHIOA,582,38,48,47,28,63,52,73,57,51,62,45,18,Sugar Factory,Las Vegas,NV, candy bars tradamerican,3.5,1409.0
22,-qYuPncpK8elgD-6Qx3v7A,615,30,45,63,68,72,50,61,62,73,35,40,16,Flock & Fowl,Las Vegas,NV, asianfusion newamerican singaporean,4.0,478.0
23,-wvWO7UlQNK2IprIukH9uQ,214,13,17,46,32,36,21,14,11,8,11,2,3,Jon Smith Subs,Las Vegas,NV, hotdogs delis sandwiches,4.0,167.0
24,-zbcosKSMGDhaZYN-CrcVA,265,17,19,20,28,26,21,33,33,21,19,20,8,Target,Las Vegas,NV, deptstores furniture electronics,3.5,141.0
25,01VPJkcU0m8WzlA7dCEpVQ,245,23,22,21,17,13,4,15,25,10,18,58,19,Tea Space,Las Vegas,NV, coffee bubbletea,4.5,373.0
26,01fuY2NNscttoTxOYbuZXw,230,11,20,29,20,26,24,20,21,16,21,21,1,Pinky's Westside Grill,Charlotte,NC, burgers tradamerican salad,4.0,1211.0
29,07AZL5XenCQ_-op_onKLdw,253,27,16,18,12,22,32,27,29,37,18,9,6,BLT Steak - Temporarily Closed,Las Vegas,NV, steak,4.0,696.0
31,0EgYXYjt2XJL4hlsKnzrcw,369,30,38,32,39,28,29,36,19,32,32,38,16,PublicUs,Las Vegas,NV, cafes coffee newamerican,4.5,1160.0
40,0WoQQlMXVIDEgI0xNdENKA,245,27,25,22,21,20,17,18,21,26,21,23,4,Feast Buffet,Las Vegas,NV, buffets,3.5,767.0
41,0_aeYE2-VbsZts_UpILgDw,377,32,22,40,36,35,33,39,38,30,32,28,12,Lazy Dog Restaurant & Bar,Las Vegas,NV, newamerican comfortfood burgers,4.0,1582.0
42,0d0i0FaJq1GIeW1rS2D-5w,659,48,55,59,58,77,63,70,59,54,46,44,26,Bruxie,Las Vegas,NV, breakfast_brunch sandwiches chickenshop,4.5,1917.0
43,0j7VWa5uGebj_94C1K2i2g,202,23,14,25,16,15,20,19,14,15,15,19,7,Walmart Supercenter,Las Vegas,NV, deptstores grocery,2.5,155.0
44,0w3BdEOxvwKTpypwbN5kiQ,222,18,8,17,17,13,23,29,23,23,18,20,13,Tofu Hut,Las Vegas,NV, korean bbq,3.5,774.0
45,0wW9PasC8pw8SY7rlY3ZKw,264,31,21,29,31,20,14,29,24,21,16,22,6,Fish King Grill,Las Vegas,NV, seafood cajun southern,4.5,428.0
49,1CP8aJa8ILlfM5deroar0Q,244,1,4,2,1,1,3,70,110,20,5,24,3,Wingstop,Las Vegas,NV, chicken_wings,3.0,199.0
50,1DP5vHxJzCDbgawv0WC3yA,220,25,7,8,15,18,21,19,17,25,28,23,14,Rose Rabbit Lie,Las Vegas,NV, theater newamerican cocktailbars,4.0,1136.0
53,1TTQ41NqKks69GltQSQNIA,210,22,18,10,13,21,27,17,25,15,17,16,9,Suncoast Hotel & Casino,Las Vegas,NV, hotels casinos,3.0,475.0
55,1aEk5vowhhTa-C3EqxdEFw,318,27,27,28,29,26,33,27,37,29,23,23,9,Soru Ramen,Las Vegas,NV, ramen japacurry,4.0,202.0
