,business_id,total_checkin,01,02,03,04,05,06,07,08,09,10,11,12,Name,City,State,Category,Rating,Review Count
0,-1m9o3vGRA8IBPNvNqKLmA,218,19,20,13,17,20,14,18,29,19,24,19,6,Bavette's Steakhouse & Bar - Temporarily Closed,Las Vegas,NV, steak bars newamerican,4.5,542.0
1,-6tvduBzjLI1ISfs3F_qTg,324,26,33,29,34,29,21,30,22,31,36,25,8,Joyride Taco House,Gilbert,AZ, mexican,4.0,1400.0
2,-9dmhyBvepc08KPEHlEM0w,247,6,11,10,24,25,22,41,44,25,26,9,4,CN Tower,Toronto,ON, landmarks observatories,4.0,782.0
3,-ADtl9bLp8wNqYX1k3KuxA,225,25,27,22,22,21,7,18,19,18,15,24,7,Ichi Ramen House,Las Vegas,NV, ramen asianfusion sushi,4.0,685.0
4,-DYPu72JHFKno3lAaUWyFw,201,4,6,10,18,23,24,30,23,29,16,13,5,Edgewater Park,Cleveland,OH, parks,4.5,111.0
5,-FLnsWAa4AGEW4NgE8Fqew,594,54,57,91,59,61,52,57,40,43,41,32,7,Breakfast Club- Scottsdale,Scottsdale,AZ, breakfast_brunch coffee sandwiches,4.0,1353.0
6,-LzUYsR54hd8cCiYXTquRA,229,41,32,33,19,21,17,15,15,14,9,11,2,Medley Buffet,Las Vegas,NV, buffets,3.0,528.0
7,-Q8F0KbFIK3m3VeGXoCDEA,289,26,24,29,33,26,26,27,23,22,22,21,10,Phoenicia Cafe,Gilbert,AZ, greek mediterranean halal,4.0,476.0
8,-Qkx7W0itbAApcG5lJuMFQ,1048,83,66,115,93,121,78,113,127,85,59,75,33,Jaburritos,Las Vegas,NV, japanese sushi seafood,4.5,634.0
10,-RYIKWBSTaJ21B2UMyzI-Q,279,22,23,29,29,38,20,27,24,19,15,29,4,Mellow Mushroom,Phoenix,AZ, pizza bars sandwiches,3.5,398.0
11,-WLrZPzjKfrftLWaCi1QZQ,215,21,22,17,21,15,27,21,18,19,11,18,5,Blueberry Hill Family Restaurant,Las Vegas,NV, diners breakfast_brunch,4.0,1081.0
12,-ZBfr1BHvArFp1d6XH8jOQ,259,26,33,32,20,26,23,27,17,15,15,22,3,Rocket Burger & Subs,Phoenix,AZ, burgers sandwiches salad,4.5,852.0
13,-_TSaVr53qiEGqMkwyEMaQ,424,43,24,39,38,49,38,43,36,36,25,33,20,Parsley Modern Mediterranean,Las Vegas,NV, mediterranean mideastern greek,4.0,631.0
