business_id,total_checkin,01,02,03,04,05,06,07,08,09,10,11,12
-1m9o3vGRA8IBPNvNqKLmA,218,19,20,13,17,20,14,18,29,19,24,19,6
-6tvduBzjLI1ISfs3F_qTg,324,26,33,29,34,29,21,30,22,31,36,25,8
-9dmhyBvepc08KPEHlEM0w,247,6,11,10,24,25,22,41,44,25,26,9,4
-ADtl9bLp8wNqYX1k3KuxA,225,25,27,22,22,21,7,18,19,18,15,24,7
-DYPu72JHFKno3lAaUWyFw,201,4,6,10,18,23,24,30,23,29,16,13,5
-FLnsWAa4AGEW4NgE8Fqew,594,54,57,91,59,61,52,57,40,43,41,32,7
-LzUYsR54hd8cCiYXTquRA,229,41,32,33,19,21,17,15,15,14,9,11,2
-Q8F0KbFIK3m3VeGXoCDEA,289,26,24,29,33,26,26,27,23,22,22,21,10
-Qkx7W0itbAApcG5lJuMFQ,1048,83,66,115,93,121,78,113,127,85,59,75,33
-RJ216TTIghZshCkUlD1WQ,203,15,14,24,17,20,10,14,20,31,15,16,7
-RYIKWBSTaJ21B2UMyzI-Q,279,22,23,29,29,38,20,27,24,19,15,29,4
-WLrZPzjKfrftLWaCi1QZQ,215,21,22,17,21,15,27,21,18,19,11,18,5
-ZBfr1BHvArFp1d6XH8jOQ,259,26,33,32,20,26,23,27,17,15,15,22,3
-_TSaVr53qiEGqMkwyEMaQ,424,43,24,39,38,49,38,43,36,36,25,33,20
-a857YYdjzgOdOjFFRsRXQ,265,24,12,27,37,26,13,28,21,19,26,23,9
-bMZCfTK7fxFaURynKpBMA,201,21,9,31,20,27,20,12,12,20,10,16,3
-ed0Yc9on37RoIoG2ZgxBA,420,47,37,47,30,30,43,38,38,37,33,32,8
-fZ4jE_7FKos0MQvMqoj5Q,350,0,0,0,70,52,62,26,28,36,30,33,13
-io9loC11Z73p_QDAWytpA,356,0,0,38,47,43,47,42,41,36,23,28,11
-kG0N8sBhBotMbu0KVSPaw,1715,184,130,161,149,150,178,171,159,159,110,110,54
-kIscN8I29eXMPkvyyxmRQ,234,17,26,26,21,17,18,30,33,13,12,17,4
-oUM2uISux96lMGeawHIOA,582,38,48,47,28,63,52,73,57,51,62,45,18
-qYuPncpK8elgD-6Qx3v7A,615,30,45,63,68,72,50,61,62,73,35,40,16
-wvWO7UlQNK2IprIukH9uQ,214,13,17,46,32,36,21,14,11,8,11,2,3
-zbcosKSMGDhaZYN-CrcVA,265,17,19,20,28,26,21,33,33,21,19,20,8
01VPJkcU0m8WzlA7dCEpVQ,245,23,22,21,17,13,4,15,25,10,18,58,19
01fuY2NNscttoTxOYbuZXw,230,11,20,29,20,26,24,20,21,16,21,21,1
024QUHVU7nlyW5y2BeeGLg,261,19,16,11,32,27,21,13,33,28,20,32,9
042IHd5KjHiMuBtGtugO_g,235,32,26,27,18,22,29,15,15,11,15,18,7
07AZL5XenCQ_-op_onKLdw,253,27,16,18,12,22,32,27,29,37,18,9,6
0CB7YB1qRSWLQvMbHw3Fmw,719,54,59,92,72,76,87,77,79,39,37,34,13
0EgYXYjt2XJL4hlsKnzrcw,369,30,38,32,39,28,29,36,19,32,32,38,16
0FUtlsQrJI7LhqDPxLumEw,325,30,28,43,28,28,25,33,20,31,26,23,10
0KjY3gmtqQjc4sK-uG-6fQ,202,13,12,9,8,17,25,32,21,26,20,12,7
0LmDg_Y6Ht3zFqtvmLhp6g,286,30,27,39,21,29,15,21,22,30,19,25,8
0QzCeORfF8EY34UODWRV9A,256,26,19,26,39,14,30,28,18,29,13,13,1
0RELQcu2_pIQH-nkPICOSw,494,34,24,79,57,46,40,46,48,32,49,33,6
0V18KwdtfsdrIu9xyO4GLg,324,41,35,28,25,25,22,20,39,16,36,29,8
